kkr,icd10_3d,cnt
05-NW,C68,163
05-NW,C69,435
05-NW,C70,81
05-NW,C71,4829
05-NW,C72,194
05-NW,C73,3712
05-NW,C74,178
05-NW,C75,147
05-NW,C76,142
05-NW,C80,1426
05-NW,C81,754
05-NW,C82,850
05-NW,C83,2159
05-NW,C84,312
05-NW,C85,329
05-NW,C86,110
05-NW,C88,233
05-NW,C90,1007
05-NW,C91,417
05-NW,C92,68
05-NW,C93,5
05-NW,C94,2
05-NW,C95,7
05-NW,C96,52
05-NW,D00,252
05-NW,D01,1103
05-NW,D02,282
05-NW,D03,2001
05-NW,D05,6099
05-NW,D06,4912
05-NW,D07,753
05-NW,D09,11975
05-NW,D32,4128
05-NW,D33,1193
05-NW,D35,1297
05-NW,D37,245
05-NW,D38,75
05-NW,D39,1202
05-NW,D40,34
05-NW,D41,565
05-NW,D42,595
05-NW,D43,770
05-NW,D44,141
05-NW,D45,16
05-NW,D46,12
05-NW,D47,61
05-NW,D48,636
06-HE,C00,92
06-HE,C01,147
06-HE,C02,421
06-HE,C03,179
06-HE,C04,200
06-HE,C05,93
06-HE,C06,102
06-HE,C07,178
06-HE,C08,47
06-HE,C09,378
06-HE,C10,117
06-HE,C11,43
06-HE,C12,36
06-HE,C13,98
06-HE,C14,4
06-HE,C15,566
06-HE,C16,1531
06-HE,C17,417
06-HE,C18,7937
06-HE,C19,42
06-HE,C20,3465
06-HE,C21,165
06-HE,C22,599
06-HE,C23,168
06-HE,C24,389
06-HE,C25,1769
06-HE,C26,10
06-HE,C30,161
06-HE,C31,56
06-HE,C32,567
06-HE,C33,3
06-HE,C34,4658
06-HE,C37,125
06-HE,C38,8
06-HE,C40,15
06-HE,C41,39
06-HE,C43,6244
06-HE,C45,106
06-HE,C46,9
06-HE,C47,20
06-HE,C48,123
06-HE,C49,384
06-HE,C50,18428
06-HE,C51,748
06-HE,C52,49
06-HE,C53,887
06-HE,C54,2598
06-HE,C55,28
06-HE,C56,1580
06-HE,C57,93
06-HE,C58,2
06-HE,C60,170
06-HE,C61,7811
06-HE,C62,783
06-HE,C63,10
06-HE,C64,2718
06-HE,C65,267
06-HE,C66,166
06-HE,C67,2729
06-HE,C68,44
06-HE,C69,37
06-HE,C70,17
06-HE,C71,1574
06-HE,C72,41
06-HE,C73,1800
06-HE,C74,38
06-HE,C75,18
06-HE,C76,3
06-HE,C80,254
06-HE,C81,80
06-HE,C82,111
06-HE,C83,331
06-HE,C84,35
06-HE,C85,29
06-HE,C86,15
06-HE,C88,43
06-HE,C90,73
06-HE,C91,13
06-HE,C92,4
06-HE,C96,12
06-HE,D00,37
06-HE,D01,267
06-HE,D02,82
06-HE,D03,1430
06-HE,D05,2120
06-HE,D06,2744
06-HE,D07,228
06-HE,D09,2197
06-HE,D32,1080
06-HE,D33,347
06-HE,D35,408
06-HE,D39,397
06-HE,D41,16
06-HE,D42,245
06-HE,D43,193
06-HE,D44,31
06-HE,D46,1
07-RP,C00,78
07-RP,C01,138
07-RP,C02,289
07-RP,C03,169
07-RP,C04,173
07-RP,C05,75
07-RP,C06,87
07-RP,C07,162
07-RP,C08,57
07-RP,C09,217
07-RP,C10,137
07-RP,C11,27
07-RP,C12,33
07-RP,C13,104
07-RP,C14,4
07-RP,C15,483
07-RP,C16,1543
07-RP,C17,401
07-RP,C18,6746
07-RP,C19,130
07-RP,C20,2735
07-RP,C21,127
07-RP,C22,502
07-RP,C23,136
07-RP,C24,294
07-RP,C25,1289
07-RP,C26,22
07-RP,C30,147
07-RP,C31,50
07-RP,C32,496
07-RP,C33,3
07-RP,C34,3174
07-RP,C37,60
07-RP,C38,16
07-RP,C39,2
07-RP,C40,28
07-RP,C41,49
07-RP,C43,4644
07-RP,C45,87
07-RP,C46,10
07-RP,C47,12
07-RP,C48,108
07-RP,C49,408
07-RP,C50,14592
07-RP,C51,524
07-RP,C52,40
07-RP,C53,683
07-RP,C54,2007
07-RP,C55,32
07-RP,C56,1040
07-RP,C57,129
07-RP,C58,1
07-RP,C60,165
07-RP,C61,7856
