Vitalstatus_YY,Vitalstatus_MM,z_kkr_label,cnt
2023,M01,11-BE,1592
2023,M01,12-BB,1312
2023,M01,13-MV,206
2023,M01,14-SN,132
2023,M01,15-ST,1406
2023,M01,16-TH,1099
2023,M02,01-SH,36
2023,M02,02-HH,31
2023,M02,03-NI,7
2023,M02,04-HB,19
2023,M02,06-HE,2398
2023,M02,08-BW,74
2023,M02,09-BY,5586
2023,M02,10-SL,650
2023,M02,11-BE,1633
2023,M02,12-BB,1264
2023,M02,13-MV,166
2023,M02,14-SN,102
2023,M02,15-ST,1378
2023,M02,16-TH,1065
2023,M03,01-SH,36
2023,M03,02-HH,35
2023,M03,03-NI,8
2023,M03,04-HB,16
2023,M03,06-HE,2734
2023,M03,08-BW,95
2023,M03,09-BY,6781
2023,M03,10-SL,829
2023,M03,11-BE,1916
2023,M03,12-BB,1411
2023,M03,13-MV,274
2023,M03,14-SN,124
2023,M03,15-ST,1518
2023,M03,16-TH,1217
2023,M04,01-SH,33
2023,M04,02-HH,32
2023,M04,03-NI,6
2023,M04,04-HB,16
2023,M04,06-HE,2031
2023,M04,08-BW,95
2023,M04,09-BY,5485
2023,M04,10-SL,683
2023,M04,11-BE,1525
2023,M04,12-BB,1131
2023,M04,13-MV,159
2023,M04,14-SN,111
2023,M04,15-ST,1352
2023,M04,16-TH,927
2023,M05,01-SH,35
2023,M05,02-HH,24
2023,M05,03-NI,6
2023,M05,04-HB,16
2023,M05,06-HE,2385
2023,M05,08-BW,99
2023,M05,09-BY,6132
2023,M05,10-SL,747
2023,M05,11-BE,1816
2023,M05,12-BB,1315
2023,M05,13-MV,152
2023,M05,14-SN,122
2023,M05,15-ST,1340
2023,M05,16-TH,1073
2023,M06,01-SH,41
2023,M06,02-HH,45
2023,M06,03-NI,8
2023,M06,04-HB,19
2023,M06,06-HE,2408
2023,M06,08-BW,100
2023,M06,09-BY,6105
2023,M06,10-SL,717
2023,M06,11-BE,1993
2023,M06,12-BB,1396
2023,M06,13-MV,238
2023,M06,14-SN,150
2023,M06,15-ST,1636
2023,M06,16-TH,1203
2023,M07,01-SH,38
2023,M07,02-HH,32
2023,M07,03-NI,4
2023,M07,04-HB,12
2023,M07,06-HE,2460
2023,M07,08-BW,113
2023,M07,09-BY,6661
2023,M07,10-SL,835
2023,M07,11-BE,1878
2023,M07,12-BB,1315
2023,M07,13-MV,186
2023,M07,14-SN,134
2023,M07,15-ST,1329
2023,M07,16-TH,1061
2023,M08,01-SH,49
2023,M08,02-HH,36
2023,M08,03-NI,8
2023,M08,04-HB,18
2023,M08,06-HE,2494
2023,M08,08-BW,131
2023,M08,09-BY,6440
2023,M08,10-SL,808
2023,M08,11-BE,1810
2023,M08,12-BB,1385
2023,M08,13-MV,406
2023,M08,14-SN,137
2023,M08,15-ST,1518
2023,M08,16-TH,1160
2023,M09,01-SH,50
2023,M09,02-HH,51
2023,M09,03-NI,5
2023,M09,04-HB,21
2023,M09,06-HE,2422
2023,M09,08-BW,135
2023,M09,09-BY,6319
2023,M09,10-SL,870
2023,M09,11-BE,1705
2023,M09,12-BB,1330
2023,M09,13-MV,337
2023,M09,14-SN,146
2023,M09,15-ST,1400
2023,M09,16-TH,1070
2023,M10,01-SH,47
2023,M10,02-HH,42
2023,M10,03-NI,4
2023,M10,04-HB,11
2023,M10,06-HE,2485
2023,M10,08-BW,138
2023,M10,09-BY,6673
2023,M10,10-SL,843
2023,M10,11-BE,1824
2023,M10,12-BB,1290
2023,M10,13-MV,158
2023,M10,14-SN,183
2023,M10,15-ST,1269
2023,M10,16-TH,1100
2023,M11,01-SH,53
2023,M11,02-HH,34
2023,M11,03-NI,4
2023,M11,04-HB,16
2023,M11,06-HE,2812
2023,M11,08-BW,110
2023,M11,09-BY,6556
2023,M11,10-SL,892
2023,M11,11-BE,2064
2023,M11,12-BB,1444
2023,M11,13-MV,228
2023,M11,14-SN,150
2023,M11,15-ST,1801
2023,M11,16-TH,1333
2023,M12,01-SH,43
2023,M12,02-HH,29
2023,M12,03-NI,9
2023,M12,04-HB,18
2023,M12,06-HE,2398
2023,M12,08-BW,123
2023,M12,09-BY,6028
2023,M12,10-SL,792
2023,M12,11-BE,1592
2023,M12,12-BB,1192
2023,M12,13-MV,159
2023,M12,14-SN,117
